,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
VioletBRichmond,5,4,2,4,2,2,5,5,2,5,4,4,5,5,2,4,2,4,4,4,4,4,3,2,4,4,2,4,2,2,4,5,2,4,4,5,4,5,2,4,2,3,4,4,2,4,4,4,4,4,2,4,2,4,4,5,2,4,4,5,4,5,2,4,4,4,4,2,4,4,4,4,4,4,3,5,2,2,4,5,2,4,4,5,5,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4
CalebJThompson,4,2,4,4,2,2,3,5,4,5,2,4,5,4,2,4,2,2,4,4,4,2,2,2,2,4,2,4,4,2,3,5,4,4,2,5,4,5,2,3,2,2,4,5,2,4,3,4,4,4,2,4,2,2,4,5,4,5,2,5,4,2,2,5,3,4,2,4,4,4,3,3,3,5,4,5,1,2,4,5,2,5,2,5,4,4,4,2,2,3,4,4,4,4,2,2,4,4,5,4
EmmaThornton,3,2,2,4,2,4,3,5,2,5,2,5,5,5,2,2,2,3,4,5,4,2,2,1,2,5,2,2,2,5,3,5,2,2,2,5,3,5,2,2,2,4,4,5,2,3,2,2,3,4,2,4,2,4,5,5,2,4,4,5,4,5,2,1,2,4,4,4,5,2,3,2,2,5,4,5,2,5,4,5,2,4,2,5,4,4,1,2,2,4,4,5,4,2,2,3,3,3,5,2
NancyCooper,4,4,2,4,2,4,3,5,2,5,2,5,4,5,2,4,2,4,4,5,4,3,3,2,3,5,2,4,5,5,3,5,2,4,4,5,4,5,2,4,2,4,3,5,2,4,4,4,3,5,1,4,2,4,4,5,2,5,4,5,3,5,4,5,2,4,2,5,2,2,4,3,4,5,4,5,2,5,4,5,2,5,2,5,2,4,2,2,4,4,3,5,4,4,4,4,5,4,5,4
WilliamNelson,3,2,4,4,2,4,3,4,3,2,4,4,5,4,3,2,2,4,4,4,5,2,3,3,2,4,3,4,5,4,3,4,4,1,2,5,4,5,4,2,4,4,4,5,4,3,4,4,2,2,2,4,3,4,5,4,4,1,2,5,5,5,3,1,2,4,4,4,4,4,4,4,3,4,4,4,2,5,4,5,4,1,4,5,4,4,2,2,2,4,4,4,4,2,4,4,4,4,5,4
UrsulaKeller,4,4,4,4,2,2,3,4,2,4,4,5,2,5,2,4,4,4,4,4,4,2,4,2,4,4,2,4,2,2,3,4,4,2,4,5,4,5,2,2,2,3,4,4,2,3,5,4,3,4,2,4,1,4,3,5,4,4,4,5,4,5,4,4,4,4,2,4,4,4,4,4,4,4,3,4,1,4,4,5,4,4,2,5,4,4,2,2,2,4,3,4,4,4,4,4,5,5,5,4
AnnaRichardson,5,3,4,4,2,4,3,4,2,4,4,5,5,5,4,3,3,4,4,4,5,3,3,2,4,4,3,4,4,4,4,4,4,2,4,5,5,5,4,3,4,3,4,5,2,4,4,4,3,4,2,4,2,4,4,4,4,3,4,5,5,5,4,2,4,4,3,4,4,4,4,4,4,4,2,4,4,5,4,5,4,2,4,5,5,4,2,3,2,4,4,4,4,4,4,4,5,4,5,4
LilyAvaldi,4,4,4,4,2,4,4,4,2,4,4,5,5,5,2,4,3,4,4,4,5,4,4,2,4,4,4,4,5,4,4,4,4,3,4,5,4,5,3,3,4,3,4,5,2,4,4,4,5,4,2,4,3,4,4,5,4,3,4,5,4,5,4,4,4,4,2,4,4,4,4,4,4,5,4,4,2,5,4,5,4,4,4,5,5,4,2,3,4,4,4,4,4,4,4,4,5,4,5,5
MelanieHughes,4,4,5,4,4,4,3,4,4,4,4,5,2,4,4,4,4,4,4,4,5,2,4,4,4,5,4,4,4,5,3,4,4,2,4,5,3,5,4,3,4,4,4,5,3,4,5,5,3,4,2,4,2,4,4,5,4,3,4,5,3,5,4,5,4,4,2,4,4,4,5,4,4,4,4,4,2,5,4,5,4,2,4,5,4,4,4,3,4,4,4,4,4,4,5,4,5,5,5,5
JasonLewis,3,4,4,4,2,4,3,4,2,2,4,5,4,5,2,2,2,4,4,5,5,2,3,4,2,4,3,4,5,5,4,5,4,1,2,5,3,5,4,2,3,4,4,5,2,3,3,4,3,4,2,2,2,4,5,4,4,2,2,5,3,5,4,1,2,4,2,5,4,2,3,4,3,4,3,4,2,5,4,5,4,2,4,5,2,4,3,2,1,4,3,4,4,2,2,4,4,4,5,4
BenjaminCox,5,5,2,4,2,4,4,4,2,2,4,5,5,5,4,4,3,4,4,5,4,3,3,2,3,5,2,4,4,4,5,5,2,2,4,5,4,5,2,3,2,2,4,5,2,4,4,4,4,5,2,4,2,4,4,5,2,3,4,5,5,5,4,3,3,4,2,5,4,2,4,4,4,5,3,4,2,5,4,5,2,4,2,5,5,4,2,2,2,3,4,4,4,4,3,3,5,4,5,4
OllieBennett,4,3,4,4,2,4,5,4,2,5,4,5,5,4,2,5,3,4,4,4,5,4,4,4,4,4,3,4,4,4,4,5,4,4,4,5,4,4,2,4,4,3,4,4,2,4,4,4,3,4,2,4,2,4,4,4,4,4,4,5,4,5,2,4,4,4,2,4,4,4,4,3,4,4,4,4,2,5,4,5,4,4,4,5,4,3,2,4,4,4,4,4,4,4,4,4,5,4,5,4
MiaFisher,4,4,4,4,4,4,3,4,3,4,4,5,4,4,4,4,3,4,4,4,5,3,4,4,4,4,4,4,4,5,3,4,4,2,4,5,4,5,4,3,2,3,4,5,4,4,5,4,3,4,3,4,3,4,4,4,4,3,3,5,4,4,4,4,4,3,2,5,5,4,4,3,4,4,4,4,2,5,4,5,4,4,3,5,4,4,4,3,4,3,4,4,4,2,4,4,5,4,5,4
GraceAvalos,4,5,4,4,3,4,4,4,4,2,4,5,2,5,4,2,3,4,4,5,5,2,3,4,5,5,3,3,5,5,4,4,4,1,2,5,4,5,3,2,4,4,4,5,4,3,4,4,3,5,2,4,4,4,5,5,4,2,2,5,4,5,4,2,2,4,2,5,4,2,3,4,4,5,3,4,2,5,5,5,4,2,3,5,2,4,4,2,2,4,4,5,4,2,2,4,4,4,5,4
NoahMorris,4,2,4,4,2,4,4,5,2,5,2,5,4,5,2,2,2,2,4,5,4,2,2,2,4,5,2,4,5,4,3,5,2,4,2,5,2,5,2,2,2,2,4,5,2,3,3,4,3,4,2,4,2,4,4,5,2,4,2,5,2,5,2,4,3,4,2,5,4,2,3,4,3,4,3,5,2,5,5,5,2,5,2,5,2,4,2,2,4,4,5,5,4,2,2,4,4,4,5,4
OscarDavis,4,2,4,4,2,4,5,4,4,4,4,5,5,4,4,2,2,4,4,5,5,2,3,2,4,3,3,4,4,4,5,4,4,2,2,5,4,5,4,2,3,4,4,5,4,3,3,4,3,4,2,3,4,4,5,4,4,3,2,5,4,5,4,2,2,4,4,4,5,2,3,4,4,4,3,4,2,5,5,5,4,4,2,5,4,2,2,2,2,4,4,4,4,2,4,4,5,4,5,4
ElijahClark,3,3,4,4,2,4,3,4,2,2,4,5,5,5,2,2,2,4,4,5,5,2,2,2,2,5,3,4,4,4,4,5,4,1,2,5,3,5,2,2,2,3,4,5,3,3,3,4,3,4,2,4,2,4,5,5,3,2,2,5,3,5,4,2,2,4,4,5,4,2,3,4,4,4,4,4,2,5,5,5,4,2,2,5,2,4,2,2,2,4,4,5,4,2,3,4,4,4,5,4
AmyPhillips,4,4,4,4,2,4,4,5,2,5,2,5,2,5,2,4,2,4,4,5,4,4,2,2,4,5,2,4,5,5,4,5,2,4,2,5,3,5,2,4,2,3,4,5,2,4,4,4,3,5,2,4,2,4,4,5,2,5,2,5,3,5,4,5,2,4,2,5,2,4,4,3,3,5,4,5,1,5,4,5,2,5,2,5,4,4,2,3,2,4,4,5,4,4,4,3,4,4,5,4
PeterMitchell,4,4,5,4,2,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,2,4,4,4,4,4,4,4,5,4,2,5,3,5,4,4,4,3,4,4,4,4,5,4,3,4,2,4,2,4,4,4,4,4,2,5,3,5,4,5,4,4,2,4,4,4,5,4,4,4,4,4,2,5,2,5,4,3,3,5,2,2,4,3,4,4,3,4,4,4,4,4,5,5,5,5
MeganFoster,5,4,4,4,2,4,3,4,4,4,4,5,5,4,2,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,5,5,5,2,3,4,4,4,4,2,4,4,4,3,4,2,4,2,4,4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,5,4,3,4,4,5,4,5,4,3,4,5,5,4,2,2,4,4,4,4,4,4,4,4,5,4,5,4
LauraSimmons,4,4,4,4,2,3,3,5,2,5,3,5,5,4,2,4,2,2,4,5,4,4,3,2,4,5,2,4,4,2,3,5,3,4,2,5,3,5,2,4,2,2,4,5,2,4,4,4,3,4,2,4,2,4,3,5,3,4,2,5,4,5,3,5,4,3,2,4,4,4,4,4,4,5,4,5,2,4,4,5,2,4,4,5,4,4,2,2,4,3,4,5,4,4,3,2,4,4,5,4
SeanBarnes,3,2,4,4,2,4,3,4,2,2,4,5,4,4,3,2,2,4,4,5,5,2,2,2,2,4,3,4,4,4,3,4,4,2,2,5,3,5,4,2,2,3,4,5,4,3,3,4,3,4,2,3,2,4,5,4,4,2,2,5,3,5,4,1,2,4,2,5,4,2,3,4,3,4,3,4,2,5,4,5,4,2,2,5,2,4,2,2,2,4,4,4,4,2,2,4,4,4,5,4
LaylaTaylor,4,4,4,4,4,4,4,5,4,4,4,5,5,4,2,4,4,4,5,4,5,4,5,4,5,4,4,4,4,5,3,5,5,3,5,5,4,5,4,4,4,4,4,4,2,4,5,5,3,4,2,4,2,5,3,4,5,4,4,5,4,5,4,5,4,4,2,4,5,4,5,4,4,4,4,4,2,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,3,5,4,5,5,5,5
WyattCollins,4,5,4,4,4,4,3,5,2,4,4,5,2,5,2,2,3,4,2,5,5,4,3,4,2,5,2,4,5,4,3,5,4,2,2,5,3,5,2,2,2,3,3,5,2,4,4,4,3,5,2,4,2,4,4,5,2,3,2,5,2,5,4,2,3,4,2,5,4,2,4,4,4,5,3,5,2,5,4,5,2,3,2,5,4,4,2,2,2,4,2,5,4,2,4,4,4,4,5,4
NoraRoberts,4,3,4,4,2,4,5,4,2,4,4,5,5,4,4,4,2,4,5,5,5,3,3,2,4,4,3,4,2,4,5,4,4,2,4,5,4,5,4,3,2,4,4,4,2,4,4,4,3,4,2,4,2,4,5,4,4,3,4,5,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,5,2,5,5,5,4,4,4,5,4,4,3,3,4,4,4,4,4,3,4,4,5,4,5,4
MartinBrooks,3,4,2,4,2,4,3,5,2,4,3,5,4,5,2,4,2,2,4,5,4,4,3,2,2,5,2,4,5,4,3,5,2,4,2,5,2,5,2,3,2,2,3,5,2,4,3,4,3,5,2,4,2,4,3,5,2,4,2,5,3,5,2,3,2,4,2,4,3,4,3,4,3,5,3,5,2,4,2,5,2,4,2,5,2,4,2,3,2,4,3,5,4,4,2,4,4,4,5,4
BenjaminJohnson,3,2,4,4,2,4,3,5,3,4,4,5,5,5,2,2,2,4,4,5,5,2,2,2,2,4,3,4,5,4,3,5,4,2,2,5,4,5,4,2,2,4,4,5,3,3,3,4,4,3,2,4,3,4,4,4,4,2,2,5,4,5,4,2,2,3,2,4,4,2,3,3,2,4,3,4,2,5,4,5,4,2,3,5,4,4,2,2,2,4,3,4,4,2,3,4,4,4,5,4
DanielleThompson,4,4,5,4,3,4,3,5,4,4,4,5,4,4,4,4,4,4,3,4,5,4,5,4,2,4,4,4,4,4,4,5,5,3,4,5,3,5,4,4,4,3,4,4,4,4,5,4,3,4,2,4,2,4,4,4,4,3,4,5,3,5,4,5,4,3,2,4,4,4,5,4,4,4,4,4,2,5,2,5,4,4,3,5,3,4,4,3,2,4,3,4,4,3,4,4,5,5,5,5
CalebDonovan,4,4,4,4,2,2,4,4,2,4,4,3,4,5,4,2,2,4,4,5,5,2,3,2,2,5,2,4,4,2,5,4,4,2,2,4,4,5,2,2,2,4,4,5,2,4,4,4,3,5,2,5,2,4,4,4,2,2,2,4,4,5,4,2,4,4,2,4,4,4,4,4,4,5,2,4,2,2,4,5,2,2,4,4,4,4,2,2,2,4,4,5,4,4,3,2,4,4,4,4
MollyElizabethJenkins,4,4,2,4,4,2,3,4,2,4,4,5,2,5,3,4,4,4,3,4,5,4,5,2,4,5,2,4,5,2,3,4,2,4,2,5,4,5,2,4,4,4,3,5,4,4,5,4,3,5,2,4,4,2,3,5,2,4,2,5,4,5,4,5,4,4,2,4,5,4,4,3,4,5,2,4,2,2,4,5,4,4,4,5,4,4,2,4,2,4,2,5,5,4,4,4,4,4,5,4
LiamHendricks,4,4,4,4,2,4,3,4,4,4,2,5,4,4,2,2,2,4,4,4,5,4,3,4,2,5,3,4,1,5,4,5,4,3,2,5,3,5,3,2,2,4,4,5,3,4,5,5,3,4,1,4,1,4,4,5,4,4,2,5,3,5,4,4,2,4,2,5,5,4,4,4,4,4,4,4,1,5,2,5,4,4,2,5,2,2,4,2,1,4,3,4,4,4,2,4,5,5,5,4
LucasTrent,4,4,5,4,2,4,3,4,5,4,4,5,5,4,4,4,4,4,4,4,5,2,5,4,5,4,4,4,4,5,4,4,5,2,4,5,5,4,4,4,4,4,4,4,4,4,5,5,3,4,4,5,2,4,4,4,5,4,4,5,4,4,4,5,4,4,2,4,5,4,5,4,5,4,4,4,2,5,3,5,5,4,4,5,5,2,4,4,1,4,4,4,4,3,4,4,5,5,5,5
PatrickOConnor,4,4,4,4,4,2,4,4,4,5,4,2,5,4,3,4,4,4,4,2,4,2,5,2,4,4,4,4,4,2,3,4,4,4,2,4,4,4,4,4,2,3,4,4,3,4,5,4,4,4,2,4,3,2,4,4,4,5,2,2,4,4,4,5,4,4,4,2,4,4,5,3,4,4,2,4,2,2,4,4,4,5,3,2,4,3,2,4,4,4,4,4,4,4,5,3,5,4,5,4
JacobTurner,4,4,4,5,2,4,3,5,4,5,2,5,4,4,2,5,2,2,4,4,4,5,3,2,2,5,2,5,4,4,4,5,4,4,2,5,3,4,2,4,2,3,4,4,2,5,4,4,3,4,2,5,2,4,4,5,2,4,2,5,2,5,4,5,4,4,2,4,4,4,4,4,4,5,4,5,1,5,2,5,4,5,2,5,4,4,2,4,4,4,3,4,4,5,4,4,4,4,5,4
LiamBailey,3,4,4,4,2,4,3,5,2,4,2,5,2,5,2,4,2,4,4,4,4,5,2,2,2,5,2,4,4,5,3,5,2,4,2,5,3,5,2,4,2,3,3,5,2,5,4,4,3,5,2,5,1,4,4,5,2,4,1,5,3,5,4,5,2,3,2,5,4,4,4,4,3,5,4,5,2,5,2,5,2,5,2,5,2,4,2,2,4,4,2,5,4,5,4,4,4,4,5,4
DerekGibson,4,4,5,5,2,4,3,5,5,5,2,5,5,3,4,5,3,4,4,4,5,4,3,2,4,5,4,5,4,4,4,5,4,4,1,5,3,4,4,5,2,3,4,4,4,5,5,5,3,4,4,5,2,4,4,5,4,4,2,5,4,4,4,5,4,4,2,5,5,4,4,3,5,4,4,5,1,5,2,5,5,5,2,5,4,3,4,4,4,4,4,4,5,4,4,4,5,5,5,5
OliverStewart,4,4,4,4,2,4,3,5,2,5,2,5,5,5,2,4,2,4,4,4,4,4,2,2,4,5,2,4,4,4,4,5,4,4,2,5,3,5,2,4,2,3,4,5,2,4,4,4,3,5,2,5,2,4,4,5,2,4,2,5,3,4,4,5,2,4,2,5,4,4,4,4,4,5,4,5,2,5,4,5,2,5,2,5,2,4,2,2,4,4,4,5,4,4,4,4,4,4,5,4
IsaacRussell,4,4,4,5,2,4,3,5,4,5,2,5,5,2,2,5,2,4,4,2,4,5,3,2,2,4,2,5,4,4,3,5,4,5,1,5,4,5,2,5,4,2,4,2,2,5,4,4,4,4,2,5,2,4,2,5,4,5,1,5,3,4,2,5,4,3,2,2,5,5,4,4,2,4,4,5,1,4,2,5,2,5,2,5,4,4,4,5,5,4,2,4,4,5,4,4,5,4,5,5
HenryWest,4,4,5,4,2,4,3,4,4,2,4,5,4,4,4,4,3,4,4,4,5,2,4,4,4,4,4,4,4,4,3,3,5,2,2,5,4,4,4,2,2,3,4,5,4,3,4,4,3,4,4,4,2,4,4,4,4,2,2,5,4,4,4,4,3,4,2,5,5,4,4,4,4,4,4,4,2,5,4,5,5,2,3,5,4,3,4,2,2,4,4,4,5,2,4,4,5,4,5,5
AdrianHolmes,4,4,5,4,2,4,3,3,4,2,2,5,4,4,4,4,4,4,4,4,5,2,4,4,3,3,4,4,4,4,4,2,4,2,2,5,4,5,4,3,2,3,4,5,4,4,4,4,4,4,2,4,2,4,4,4,4,2,2,5,3,4,4,4,3,4,2,4,5,4,3,4,4,4,4,4,1,4,3,5,4,2,2,4,4,4,4,3,2,4,3,4,4,2,2,4,5,4,5,5
LeonardBailey,4,5,4,4,4,4,3,5,2,5,5,5,1,5,2,3,2,4,4,5,4,2,3,3,4,5,2,4,5,5,3,5,2,2,5,5,2,5,2,2,2,4,2,5,2,3,3,4,3,5,2,2,1,4,4,5,2,4,2,5,2,5,4,2,4,4,4,5,5,2,3,4,3,5,2,5,1,5,4,5,2,4,2,5,2,5,1,2,2,4,3,5,4,2,3,4,4,4,5,2
LindaSimmons,4,5,4,4,2,2,3,5,2,5,4,5,2,5,2,4,4,4,4,5,4,3,4,2,2,5,2,4,5,2,3,5,4,4,3,5,3,5,2,3,2,3,4,5,2,4,5,2,3,5,2,4,2,2,3,5,4,4,4,5,4,5,2,4,3,4,2,5,4,4,4,2,4,5,2,5,1,2,4,5,4,4,2,5,4,5,2,2,2,4,3,5,4,3,4,2,5,5,4,4
GracePalmer,4,4,5,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,5,5,2,4,4,4,5,4,4,5,5,3,2,4,2,4,5,4,5,4,3,2,4,4,5,4,4,5,4,3,4,2,4,4,4,4,4,4,3,2,5,3,4,4,4,4,4,2,5,5,4,4,4,4,4,4,5,2,5,4,5,5,4,4,5,4,4,4,2,4,4,4,5,5,2,4,4,5,4,5,5
LucyArmstrong,4,4,4,4,4,4,3,4,4,5,4,5,4,4,4,5,4,4,4,2,5,5,4,4,2,4,4,4,5,4,3,4,4,4,2,5,3,5,4,5,4,4,4,4,2,5,5,4,3,4,2,5,2,4,3,4,4,4,2,5,4,4,4,5,4,3,2,4,4,5,5,4,4,4,4,5,2,5,2,5,4,4,4,5,4,3,4,4,4,4,2,4,4,5,4,4,5,5,5,5
AlexanderHamilton,3,4,4,4,2,4,3,5,4,4,2,5,4,5,2,4,2,4,4,4,4,4,3,2,2,5,2,4,4,5,3,5,4,4,2,5,3,5,2,4,2,2,4,5,2,4,4,4,3,4,2,4,2,4,3,5,2,4,4,5,2,5,4,4,4,3,2,5,4,4,4,4,2,5,4,5,1,5,2,5,4,4,2,5,2,4,2,2,4,4,3,5,4,4,2,3,4,4,5,4
WilfredReynolds,5,4,4,4,2,4,4,4,2,4,4,5,5,4,4,4,3,4,4,5,5,2,4,4,4,4,4,4,5,5,3,4,4,2,4,5,5,5,4,3,4,3,4,5,4,4,5,5,4,4,2,4,3,4,4,4,4,3,4,5,4,5,4,4,4,4,2,5,5,4,4,4,4,4,4,4,2,5,4,5,4,4,2,5,5,4,4,2,4,4,4,4,5,2,4,4,5,4,5,5
MarkPeterson,3,2,4,4,2,4,3,4,4,4,2,5,4,4,2,4,2,4,4,4,4,4,3,2,2,4,4,4,1,5,3,5,4,4,2,5,3,5,4,3,2,3,4,4,2,3,4,4,3,2,2,4,1,4,4,5,4,4,4,5,3,5,4,4,2,4,2,4,4,4,4,4,4,4,4,5,1,5,2,5,4,4,2,5,2,2,4,3,2,4,2,4,4,4,4,4,5,5,5,4
LeeScott,3,4,4,4,2,4,3,5,2,4,2,5,2,4,2,4,2,4,4,4,4,5,2,2,2,5,2,4,3,4,3,5,2,4,2,5,3,5,2,3,2,3,3,4,2,5,4,4,3,5,2,4,2,4,3,5,2,4,2,5,3,5,2,5,2,4,2,5,4,4,3,4,3,5,4,5,2,5,2,5,2,4,2,5,2,4,2,3,2,4,2,5,4,4,4,4,4,4,5,4
ChloeRoss,5,4,4,4,4,3,3,4,4,4,4,5,5,4,4,4,4,4,4,2,5,4,3,2,3,2,2,4,5,4,3,4,4,4,4,5,5,5,4,3,4,2,4,3,2,4,4,4,3,4,2,5,3,4,2,4,4,4,3,5,5,4,4,4,3,3,4,2,4,4,4,4,4,4,3,4,4,5,2,5,4,2,4,5,5,4,2,4,4,2,3,3,4,4,4,3,5,4,5,4
JacobSimmons,3,4,4,4,2,2,3,5,4,5,2,5,5,4,2,5,2,2,4,4,4,4,3,2,2,4,2,4,5,2,3,5,4,5,2,5,2,4,2,5,2,1,4,4,2,4,4,4,3,4,2,5,2,2,2,5,2,5,2,5,3,4,2,5,4,2,2,4,4,4,4,4,2,4,4,5,2,4,2,5,4,5,2,5,4,4,2,4,4,2,2,4,4,4,4,2,4,4,5,4
AidenStewart,4,4,4,4,2,4,4,4,4,4,2,5,4,4,4,4,2,2,4,4,4,4,3,2,2,4,2,4,2,4,5,5,4,4,2,5,3,5,2,3,2,3,4,4,2,4,4,4,3,4,2,4,1,4,4,5,4,4,2,5,4,4,3,3,2,4,2,4,4,4,4,4,4,4,4,5,1,5,4,5,2,4,2,5,2,2,2,3,4,4,2,4,4,4,4,4,4,4,5,4
EmilyKing,5,4,4,4,2,4,3,4,4,4,4,5,5,4,4,4,4,4,4,2,5,2,4,4,4,4,4,4,5,5,3,3,5,2,1,5,4,4,4,3,4,4,4,5,4,4,5,5,3,4,2,4,2,5,3,4,5,3,1,5,4,4,4,4,4,4,2,5,5,4,5,4,5,4,4,4,1,5,4,5,4,4,2,5,5,4,4,4,4,4,4,4,5,2,4,4,5,5,5,5
ConnorGreen,5,2,4,4,2,4,3,4,4,4,4,5,5,2,2,4,4,4,4,2,4,4,4,2,4,2,4,4,4,4,4,5,4,3,4,5,4,4,4,3,4,4,4,4,2,4,4,4,3,2,2,4,2,4,4,2,4,2,4,5,5,4,4,2,4,4,4,4,4,4,4,4,4,2,3,4,2,5,4,5,4,2,4,5,5,4,3,2,2,4,4,2,4,4,4,4,5,4,5,4
AmeliaRobinson,4,5,4,4,2,3,3,5,2,4,4,5,5,5,2,5,4,4,4,5,5,5,4,2,2,5,2,5,5,4,4,5,2,4,4,5,4,5,2,5,4,2,4,5,2,4,4,4,4,5,2,5,3,4,3,5,2,4,4,5,4,5,4,5,4,3,2,5,4,4,4,3,3,5,4,5,2,5,2,5,2,4,4,5,5,5,2,4,4,2,3,5,4,4,4,3,5,4,5,5
LeoHarris,3,2,4,4,2,4,3,5,4,4,4,5,5,4,2,4,3,4,4,2,4,4,3,2,2,2,2,4,4,4,4,5,4,4,4,5,5,5,2,4,4,3,4,4,3,4,4,4,3,4,2,4,2,4,3,4,4,4,4,5,4,5,3,5,2,3,4,2,3,4,4,4,2,4,3,4,2,5,2,5,4,4,4,5,5,4,2,2,2,3,2,3,4,4,4,4,4,4,5,4
CharlotteCampbell,4,4,4,4,4,4,3,4,4,2,4,5,4,4,4,4,4,4,4,4,5,3,5,4,4,4,4,4,4,4,3,4,4,2,4,5,4,5,4,3,4,4,4,4,4,4,5,4,3,4,2,4,2,4,4,4,4,3,4,5,4,5,4,4,4,4,2,4,4,3,5,4,4,5,4,4,2,5,4,5,4,2,4,5,4,2,4,3,4,4,3,4,4,2,5,4,5,5,5,5
EllaGray,5,2,4,4,4,4,3,4,4,4,4,5,5,2,4,4,4,4,4,2,4,4,4,2,3,2,4,4,5,4,3,4,4,4,2,5,5,4,4,4,4,2,4,2,2,4,4,4,3,2,2,4,3,4,2,4,4,4,4,5,5,4,4,5,4,3,4,2,4,4,4,4,4,2,4,4,4,5,2,5,4,2,4,5,5,2,3,4,4,2,3,2,4,4,4,4,5,4,5,5
SarahJenkins,3,5,4,4,4,4,3,5,2,4,4,5,5,5,2,4,4,4,4,5,5,3,4,2,5,5,4,4,5,5,3,5,4,3,4,5,4,5,2,3,4,2,4,5,2,4,5,4,3,5,2,4,3,4,4,5,2,4,2,5,4,5,4,4,4,4,2,5,4,4,4,4,4,5,4,5,2,5,4,5,4,4,4,5,4,5,2,2,4,4,4,4,4,4,4,4,5,4,5,5
PaulMiller,5,2,4,4,2,4,4,4,4,4,4,5,5,2,3,4,3,4,4,2,4,4,3,2,4,2,3,4,4,4,5,4,4,3,2,5,5,2,4,3,4,3,4,4,2,4,4,4,3,2,2,4,3,4,4,4,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,4,4,2,3,4,2,5,4,5,4,4,4,5,5,2,2,4,2,4,4,2,4,4,4,4,5,4,5,4
ClaireBailey,5,5,4,4,4,4,3,4,4,4,4,5,5,5,4,4,4,4,4,4,5,3,4,4,3,5,4,4,5,4,3,4,4,2,4,5,4,5,3,3,3,2,4,5,4,4,4,4,3,5,2,4,3,4,3,4,4,3,3,5,4,5,4,4,4,4,2,4,4,4,4,3,4,5,2,4,2,5,4,5,4,2,4,5,5,4,4,2,2,4,3,4,4,3,4,3,5,4,5,4
MatthewRogers,4,2,2,4,2,4,3,5,2,5,4,5,5,5,2,4,3,4,5,4,4,4,2,2,3,5,2,4,4,4,3,5,2,4,4,5,5,5,2,3,2,2,5,4,2,4,4,4,3,4,2,4,2,4,4,5,2,4,4,5,5,5,4,4,2,4,3,4,4,4,4,4,4,4,4,4,2,5,4,5,2,4,4,5,5,4,2,2,2,4,4,4,4,4,4,4,5,4,5,4
SadieGibson,4,4,4,4,2,4,3,5,2,5,4,5,5,4,2,4,4,4,4,2,4,5,4,2,4,4,2,4,4,4,3,5,2,4,2,5,4,5,2,4,4,2,4,4,2,5,5,4,4,4,2,4,2,4,2,5,2,4,4,5,4,4,2,5,4,3,2,4,4,4,5,4,2,4,4,5,2,5,2,5,2,4,4,5,5,4,2,4,4,2,2,4,4,5,5,4,5,4,5,4
OliverWest,4,3,4,4,4,3,3,4,4,5,4,4,5,4,4,4,3,4,4,2,5,3,4,4,4,3,3,4,5,4,4,4,4,3,4,5,5,4,4,4,3,3,4,4,3,4,4,4,3,4,2,4,2,4,4,3,4,4,2,5,5,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,2,5,4,4,4,4,4,5,5,4,3,3,4,4,4,3,4,2,4,4,5,4,5,4
JuliaMorris,4,3,4,4,4,2,3,4,4,5,3,5,5,4,3,5,4,1,4,2,4,4,3,2,2,4,2,4,5,2,3,4,4,4,2,5,3,5,2,5,2,1,4,4,3,4,4,4,3,5,2,5,2,4,2,4,4,4,2,3,4,4,4,5,4,2,2,2,4,4,4,4,2,4,3,5,4,4,2,5,4,4,4,5,5,4,2,4,4,1,2,3,4,4,4,2,4,4,4,4
LindaPerry,4,4,4,4,2,2,3,4,4,5,4,5,5,4,2,4,2,2,4,4,4,4,3,2,4,5,2,4,5,2,3,5,4,4,2,5,4,5,2,4,2,2,4,4,2,4,4,4,3,5,2,4,2,3,3,4,4,4,2,5,4,4,2,5,3,3,2,4,4,4,4,3,4,5,4,5,2,4,4,5,2,5,2,5,4,4,4,4,4,3,3,4,4,4,3,3,5,4,5,4
WilliamDavis,3,3,4,4,4,4,3,3,4,4,4,5,4,2,4,4,4,4,4,4,5,4,4,4,3,2,4,4,4,4,4,4,4,4,2,5,3,4,4,4,2,3,4,4,3,4,4,4,3,4,2,4,2,4,4,4,4,4,2,5,4,4,4,4,4,4,2,4,4,4,4,3,4,2,4,4,2,5,4,4,4,4,3,5,2,2,4,4,4,4,3,2,4,4,4,4,5,4,5,5
